53792,58256,62484,66041,68912,71115,72922,73361,74430,73357,72469,70884,68036,64491,60935,57375,55168,59154,63791,67347,69588,71588,73129,73362,73362,73140,71591,69567,67347,64021,60243,55386,56692,60931,64479,68020,69805,72468,73119,74421,73361,72922,71583,69371,66041,62680,58937,54007,57362,62251,65814,68018,71136,72923,73362,74426,73348,72469,71136,68263,65364,61797,57582,54669,58921,62680,66474,69355,71588,72918,73363,73363,73119,71570,69809,67589,64484,60906,56673,1.1
63356,69440,73312,77900,81066,84924,85663,87354,87352,87368,85641,83496,81046,77408,73298,67257,65550,70159,74994,78880,81798,85162,86610,87354,87359,86620,84935,82745,79617,75748,71122,65582,66303,71870,77184,79608,83489,84928,86624,87366,87358,85670,84914,81765,77926,74044,69440,64105,68006,73542,77191,81276,83480,85644,87361,87346,87361,85635,83494,80796,77186,73062,67992,64107,69447,74054,77926,81779,85167,85667,87358,87366,86610,84935,82745,79615,75736,71870,66284,1.2
72988,79538,85054,90298,93965,97107,99462,101047,101294,101042,99989,96843,92915,88723,83730,77734,75344,81394,87413,91078,95809,98150,100505,101299,101311,100498,98150,95270,92114,86886,81914,75887,76670,82694,88459,92651,96313,98682,100498,101306,101042,99474,97630,94497,91605,85574,80346,74825,78502,84531,89778,93438,97107,99989,101035,101300,101044,99999,97104,93707,89515,84540,78768,74825,80339,86113,91350,95799,97630,99461,101044,101299,100510,98682,96306,92658,87929,83228,76677,1.3
83917,91247,98013,103939,108447,112416,115501,116068,116913,116068,113807,110995,107051,101978,96606,89842,85897,93508,99436,105637,110142,112965,115514,116914,116921,115511,112979,110142,106473,100271,94361,87582,88439,94921,101965,106483,110999,113807,115514,116914,116061,115497,112959,108467,103941,98866,92937,85057,90412,97466,103385,108447,111549,114661,116061,116918,116065,114668,111549,107889,103384,96903,90128,85057,92937,99423,104790,109302,112959,114944,116914,116914,115507,113807,110999,106483,101965,94917,88429,1.4
95952,104719,112298,119219,124357,128858,131013,132221,133702,132210,129819,127092,122264,117115,109872,102020,98121,106853,114372,120147,124983,129200,131929,133690,133716,131924,129811,126165,121348,115311,107769,99873,100827,109530,115323,121947,126769,129804,131928,133711,133716,131626,128884,124979,119541,112600,105626,97149,103218,110492,117432,124047,127389,131008,132225,133690,132223,131012,127394,122563,117428,110776,102937,97808,105651,112893,119525,124954,129490,131601,133716,133716,131903,129812,126794,121963,115323,108065,100815,1.5
108796,117855,127198,134578,140726,145876,148741,151032,151010,151018,147802,143608,138470,132343,125258,116870,111742,122018,129433,137478,142947,147785,150048,151030,151016,150044,148099,142644,137795,130422,122042,112703,114954,123014,132636,138437,143596,148106,150048,151016,151023,148767,145878,142626,135569,128147,120120,109787,116887,127177,133308,140724,144882,148745,151018,151005,151025,148753,144896,139739,133302,125270,116886,111703,120112,128156,135564,141666,145868,148767,151026,151023,150034,148096,143589,138444,132336,123000,113977,1.6
121468,132434,142010,150562,158075,163547,167653,169370,169359,169026,165953,161494,156709,148158,140300,130018,125245,135497,145765,152947,159102,164581,166973,169363,169370,168322,164574,159782,153630,146434,136543,126277,129361,138593,147475,155002,162188,165254,168322,169363,169363,166966,163891,158431,151906,143366,134821,123865,131059,141659,149537,157385,162850,167653,169019,169366,169021,167668,163201,156025,149530,141313,131063,123198,134141,144058,152610,158419,163903,166977,169375,169375,168334,165254,160474,154317,147131,137894,127642,1.7
135597,147908,158771,168182,176161,181964,186656,189549,190266,188456,185562,180864,173985,166381,155520,143943,139233,151897,161312,171094,178689,183764,187746,189549,189549,187746,184474,178688,172173,163485,152997,141400,143220,154797,164588,172903,179770,184487,188470,189556,189549,187736,182664,176872,170360,160589,149729,137068,147192,157696,167104,176148,181940,186649,188463,190267,188456,185560,181230,175069,166733,157703,146109,137784,149728,161313,170356,176876,182668,187012,189556,189563,187749,184480,179770,172890,164571,153704,142120,1.8
150912,164688,176891,187619,196026,202495,207472,210900,211270,209010,205975,201375,193717,184170,174238,160109,154003,168502,180346,189921,198682,204773,208257,210911,210885,208644,205200,199087,190684,181518,169303,157066,159365,171967,183040,192976,199850,205941,209016,211312,210885,208257,202893,196415,187634,178079,165860,152440,163182,175407,186447,195248,202150,205974,209016,211285,209022,206342,202121,194123,186452,174998,162785,153251,166229,178076,189144,196789,203282,208253,210898,211288,208635,205954,199847,192551,183016,171582,158591,1.9
167036,183552,196800,206876,216901,223362,229769,232610,234992,232612,228960,222154,215698,204062,191217,178327,171888,186379,199243,210494,219763,226189,229799,232621,235009,231396,226183,219754,210506,200451,187587,173511,177121,189995,203239,213331,222549,228977,232617,235015,232625,229802,224961,216938,209678,197623,183573,168278,181157,194026,206892,215723,223358,228597,232617,234994,232627,228594,223347,215310,205671,194033,179942,170674,184761,197628,209681,218525,226195,229809,232625,235012,231403,228580,222145,213317,203246,190382,174737,2.0
